,LAT,LON,MUN,special,p0,p1,p2,p3,p4,d0,d1,d2,d3,d4
p0,42.064000677925186,-87.68130213156118,0.0,0,0.0,0.43,0.5,0.49,0.24,0.12,0.07,0.62,0.56,0.42
p1,42.06573336018468,-87.68927548503932,0.0,0,0.43,0.0,0.13,0.1,0.2,0.3,0.43,0.21,0.14,0.08
p2,42.064271319646906,-87.69099768761058,0.0,0,0.5,0.13,0.0,0.03,0.26,0.38,0.52,0.14,0.11,0.08
p3,42.06472086556986,-87.69072930725825,0.0,0,0.49,0.1,0.03,0.0,0.24,0.36,0.5,0.14,0.1,0.06
p4,42.064273164113516,-87.68600743917187,0.0,0,0.24,0.2,0.26,0.24,0.0,0.12,0.27,0.38,0.32,0.18
